Group,B1,Social Rented Sector Professional Support Workers ,"Mainly located in Inner London, these neighbourhoods retain a diverse employment structure, with some concentration in associated professional and technical occupations rather than skilled trades or construction. Social renting is more common and levels of homeownership are low. Many residents identify as Black. There is a lower than average rate of marriage or civil partnership, few that are very old (85 or over) and higher than average incidence of disability."
Group,B2,Skilled Trades and Construction Workers ,"These scattered, peripheral and often low residential density neighbourhoods house more workers in skilled trades and construction. Few households rent social housing and there are few students. Multiple car ownership is higher than the Supergroup average, perhaps because of poorer public transport connectivity. Incidence of mixed or multiple ethnicity is below the Supergroup average, and the absence of individuals identifying as Pakistani or Other Asian groups is also less pronounced. Flatted accommodation is less dominant than elsewhere in the Supergroup."
Group,C1,Young Asian Family Terraces,"These households with dependent children typically live in terraced housing and are of (non-Chinese) Asian extraction. Individuals with Bangladeshi origins are particularly in evidence. Employment is often in elementary occupations or as process, plant or machine operatives, and part-time work is common. Students are much in evidence."
Group,C2,Settled Semi-Detached Asians,"These residents share Supergroup characteristics of large (non-Chinese) Asian populations but those identifying as Bangladeshi are notably absent. Many residents were born in the UK, while other more recent migrants have African birthplaces. Semi-detached housing, much of it owner occupied, prevails in these suburban residential locations."
Group,D1,City Support Workers ,"Scattered throughout Inner London, these areas house relatively few workers in the most senior roles within organisations, and greater prevalence of administrative roles relative to the Supergroup mean. Residents are less likely to be of Chinese ethnicity and are more likely to have been born in Africa. Relative to the Supergroup average, residents are also more likely to live in social housing and live in overcrowded conditions."
Group,D2,Central and City,"These high density central neighbourhoods are characterised by high levels of residential turnover. Few children are in evidence. Few individuals experience live with disability, with many in full-time employment or study. Levels of separation or divorce are low relative to the Supergroup average. The workforce is well-educated but not in the top flight of managerial occupations. Levels of affiliation to non-Christian religions are high."
Group,D3,Senior Professionals,"These very central neighbourhoods house residents whose ages are more skewed towards older age cohorts than elsewhere in the Supergroup. Few households have young children. Rates of illness are low. Indian ethnicity is rare compared to the Supergroup mean. Property under occupation is more common, despite the centrality of neighbourhoods, and more residents live in communal establishments than elsewhere in the Supergroup."
Group,E1,Challenged Inner London Communities ,"Resident in some of Inner London’s most over-crowded communities, many families have children and marriage/civil partnership rates are above the Supergroup average. Other adults such as students live in communal establishments. Few residents have Level 4 educational qualifications, levels of unemployment are above the Supergroup average, and employment is concentrated in service occupations such as distribution, hotels and restaurants. Relative to the Supergroup average, fewer residents identify as being of mixed/multiple ethnicities, Black or Other Asian."
Group,E2,Social Rented Sector Pockets,"Found in pockets across London, residents are less likely to live in private sector rentals and fewer adults are students. Fewer individuals work in transport and communications occupations relative to the Supergroup average. More individuals identify as Black and were born in Africa."
Group,F1,Terraced and Semi-Detached Suburbs ,"Mainly concentrated in suburban areas, these terraced and semi-detached developments are less overcrowded than the Supergroup average, and resident households are more likely to own two or more cars. There are fewer residents aged 25-44, and a larger share of residents employed in administrative and secretarial occupations. Residents are more likely to have been born in the UK, less likely to have been born in the EU or Africa, and much less likely to self-identify as Bangladeshi."
Group,F2,Social Rented Sector and Diverse Origins ,"Scattered across London’s Inner and Outer suburbs, residents of these neighbourhoods are typically housed in the social rented sector. Although terraced and semi-detached houses predominate, more residents live in flats than elsewhere in the Supergroup. Neighbourhoods are more ethnically diverse than the Supergroup average. Those identifying as of Bangladeshi, Pakistani and some Black ethnicities are more prevalent. Europeans born in a overseas non-EU countries make up more of the lower proportion of residents identifying as White. Few residents are very old (85+). Employment in distribution, hotels and restaurants is more common than elsewhere in the Supergroup."
Group,G1,Professional Periphery,"These neighbourhoods predominantly house residents aged 45+, with many aged 85+. Most employed residents work in senior roles, and relatively few work in unskilled jobs. Terraced housing is comparatively rare, but communal living is more common. More residents identify as of Indian ethnicity and more affiliate with non-Christian religions. Disability levels are below the Supergroup average."
Group,G2,London Fringe ,"Predominantly located in neighbourhoods on the outskirts of Greater London, residents of these neighbourhoods typically have their highest qualifications below degree (Level 4) level, with those still in work engaged in skilled trades and occupations in distribution, hotels and restaurants. There is low ethnic diversity in these neighbourhoods and high levels of Christian religious affiliation. Detached or terraced houses predominate, often with spare rooms."
